,ID,P_ID,LABEL_NAME,LABEL_ICON,LEVEL,SORT,CREATOR,CREATE_TIME,UPDATER,UPDATE_TIME,IN_USE
141,586,1,Digifinex,/labelicon/second/Digifinex.png,1,,,,,,TRUE
142,591,1,Gate.io,/labelicon/second/Gate.io.png,1,,,,,,TRUE
143,605,1,Binance Us,,1,,,,,,TRUE
144,607,1,Vinex,,1,,,,,,TRUE
145,612,1,Bw.com,/labelicon/second/Bw.com.png,1,,,,,,TRUE
146,618,1,Panda.exchange,,1,,,,,,TRUE
147,630,1,Streamity,,1,,,,,,TRUE
148,634,1,Yobit.net,,1,,,,,,TRUE
149,638,1,Coinhako,,1,,,,,,TRUE
150,643,1,Folgory Exchange,,1,,,,,,TRUE
151,650,1,Bit-z,,1,,,,,,TRUE
152,666,1,Exmo,/labelicon/second/Exmo.png,1,,,,,,TRUE
153,680,1,Eidoo,,1,,,,,,TRUE
154,685,1,Eterbase,,1,,,,,,TRUE
155,709,1,Beaxy,/labelicon/second/Beaxy.png,1,,,,,,TRUE
156,721,1,Bitso,/labelicon/second/Bitso.png,1,,,,,,TRUE
157,776,1,Coinmotion,,1,,,,,,TRUE
158,788,1,Xapo,,1,,,,,,TRUE
159,798,1,Bitcurex,,1,,,,,,TRUE
160,804,1,Gatecoin,,1,,,,,,TRUE
161,812,1,Cavirtex,,1,,,,,,TRUE
162,816,1,Indacoin,,1,,,,,,TRUE
163,818,1,Coincafe,,1,,,,,,TRUE
164,828,1,Coinomat,,1,,,,,,TRUE
165,830,1,Bitz,,1,,,,,,TRUE
166,832,1,Coinmate,/labelicon/second/Coinmate.png,1,,,,,,TRUE
167,834,1,796,,1,,,,,,TRUE
168,836,1,Bitcoinvietnam,,1,,,,,,TRUE
169,848,1,Coinarch,,1,,,,,,TRUE
170,872,1,Blocktrades,,1,,,,,,TRUE
171,880,1,Happycoins,,1,,,,,,TRUE
172,884,1,Bx,,1,,,,,,TRUE
173,908,1,Altcointrader,,1,,,,,,TRUE
174,910,1,Chbtc,,1,,,,,,TRUE
175,914,1,Coins-e,,1,,,,,,TRUE
176,916,1,Empoex,,1,,,,,,TRUE
177,924,1,Mexbt,,1,,,,,,TRUE
