,ID,P_ID,LABEL_NAME,LABEL_ICON,LEVEL,SORT,CREATOR,CREATE_TIME,UPDATER,UPDATE_TIME,IN_USE
159,798,1,Bitcurex,,1,,,,,,True
160,804,1,Gatecoin,/labelicon/second/Gatecoin.png,1,,,,,,True
161,812,1,Cavirtex,,1,,,,,,True
162,816,1,Indacoin,,1,,,,,,True
163,818,1,Coincafe,,1,,,,,,True
164,828,1,Coinomat,,1,,,,,,True
165,830,1,Bitz,/labelicon/second/Bitz.png,1,,,,,,True
166,832,1,Coinmate,/labelicon/second/Coinmate.png,1,,,,,,True
167,834,1,796,,1,,,,,,True
168,836,1,Bitcoinvietnam,,1,,,,,,True
169,848,1,Coinarch,,1,,,,,,True
170,872,1,Blocktrades,,1,,,,,,True
171,880,1,Happycoins,,1,,,,,,True
172,884,1,Bx,,1,,,,,,True
173,908,1,Altcointrader,/labelicon/second/Altcointrader.png,1,,,,,,True
174,910,1,Chbtc,,1,,,,,,True
175,914,1,Coins-e,,1,,,,,,True
176,916,1,Empoex,,1,,,,,,True
177,924,1,Mexbt,,1,,,,,,True
178,938,1,Btctrade,/labelicon/second/Btctrade.png,1,,,,,,True
179,944,1,Usecryptos,,1,,,,,,True
180,950,1,Zyado,,1,,,,,,True
181,956,1,Localbitcoins,/labelicon/second/Localbitcoins.png,1,,,,,,True
182,958,1,Litebit,/labelicon/second/Litebit.png,1,,,,,,True
183,968,1,Virwox,,1,,,,,,True
184,970,1,Maicoin,,1,,,,,,True
185,972,1,Therocktrading,/labelicon/second/Therocktrading.png,1,,,,,,True
186,976,1,Crypopay,,1,,,,,,True
187,978,1,Campbx,,1,,,,,,True
188,980,1,Btc38,,1,,,,,,True
189,984,1,Cryptsy,,1,,,,,,True
190,998,1,Ccedk,,1,,,,,,True
191,1002,1,Coinbroker,,1,,,,,,True
192,1004,1,Exchanging,,1,,,,,,True
193,1014,1,Orderbook,,1,,,,,,True
194,1030,1,Bitcoin,,1,,,,,,True
195,1036,1,Bitflyer,/labelicon/second/Bitflyer.png,1,,,,,,True
196,1038,1,Bitbargain,,1,,,,,,True
197,1042,1,Cryptonit,,1,,,,,,True
198,1050,1,Lakebtc,/labelicon/second/Lakebtc.png,1,,,,,,True
199,1066,1,Clevercoin,,1,,,,,,True
200,1077,1,C-cex,/labelicon/second/C-cex.png,1,,,,,,True
201,1087,1,Banx,,1,,,,,,True
202,1091,1,Okcoin,/labelicon/second/Okcoin.png,1,,,,,,True
203,1107,1,Simplecoin,,1,,,,,,True
204,1109,1,Fybsg,,1,,,,,,True
205,1119,1,Uniccshop.mn,,1,,,,,,True
206,1135,1,Coingi,/labelicon/second/Coingi.png,1,,,,,,True
207,1141,1,Spectrocoin,,1,,,,,,True
